Transaction_Amount,Account_Balance,Customer_Tenure_Months,Daily_Transaction_Count,Transaction_Hour,Failed_Login_Attempts,Transaction_Type,Merchant_Category,Device_Type,Country,Account_Type,KYC_Status,High_Risk_Transaction
33215.6,34761.46,26,2,22,0,Transfer,gambling,mobile,Bangladesh,current,unverified,No
4381.58,30835.85,17,3,11,0,Cash_Out,travel,Mobile ,IN,current,unverified,No
5662.53,37742.13,71,1,9,0,Transfer,travel,Mobile ,Bangladesh,savings,unverified,No
6951.09,22602.66,13,3,1,0,Transfer,travel,desktop,india,savings,unverified,Yes
4041.65,16386.14,69,1,10,0,cash_out,GAMBLING,Mobile ,india,business,unverified,No
4628.68,15498.99,26,0,9,0,transfer,gambling,mobile,IN,savings,unverified,No
2787.33,14537.4,49,5,21,0,TRANSFER,food,desktop,india,savings,Verified ,No
2607.59,149053.44999999998,67,2,5,1,transfer,travel,mobile,Bangladesh,current,Verified ,No
6625.05,27122.71,7,3,17,0,transfer,gambling,Mobile ,india,savings,unverified,No
7712.48,21202.26,58,3,1,0,Transfer,gambling,desktop,india,business,Verified ,No
4855.98,12778.19,49,6,1,0,cash_out,electronics,desktop,Bangladesh,current,Verified ,Yes
7007.07,46292.13,103,4,9,1,transfer,travel,desktop,india,business,unverified,Yes
5723.27,29123.75,53,5,15,0,Cash_Out,GAMBLING,desktop,IN,savings,unverified,No
3709.76,4022.88,65,3,11,1,Cash_Out,gambling,mobile,Bangladesh,business,Verified ,No
5722.79,14837.44,113,2,0,0,transfer,gambling,Mobile ,Bangladesh,business,unverified,No
8076.07,146588.8,62,3,20,0,Transfer,food,Mobile ,BD,savings,unverified,No
4928.35,12004.61,17,5,7,1,Transfer,electronics,desktop,BD,savings,unverified,No
8129.29,23515.48,43,1,15,2,TRANSFER,gambling,Mobile ,Bangladesh,current,unverified,No
-239.49,29507.96,25,2,17,0,cash_out,gambling,mobile,Bangladesh,current,Verified ,Yes
6643.81,-13884.28,3,4,12,0,Transfer,GAMBLING,Mobile ,BD,current,verified,No
5174.09,18919.62,79,2,14,2,TRANSFER,GAMBLING,mobile,IN,savings,Verified ,No
4401.99,19312.09,29,3,20,1,Cash_Out,food,mobile,india,business,verified,No
5183.52,15879.28,117,5,11,0,Cash_Out,food,Mobile ,india,business,verified,No
1024.86,23016.95,107,3,7,2,Cash_Out,food,mobile,india,current,verified,No
4560.66,26575.2,32,1,9,2,transfer,GAMBLING,mobile,Bangladesh,current,Verified ,No
5714.23,21420.51,26,3,13,2,cash_out,GAMBLING,mobile,IN,savings,Verified ,No
7955.79,16261.73,16,1,4,1,TRANSFER,electronics,mobile,BD,business,Verified ,No
3963.46,26326.21,25,2,17,1,cash_out,travel,desktop,IN,current,Verified ,No
3383.01,20490.53,54,2,18,1,transfer,travel,Mobile ,IN,savings,Verified ,No
3996.49,17693.0,28,1,14,0,TRANSFER,electronics,desktop,india,current,verified,No
6830.8,6877.21,73,1,5,0,TRANSFER,travel,mobile,BD,savings,Verified ,No
5657.5,4373.45,56,2,10,2,Transfer,GAMBLING,Mobile ,IN,business,verified,No
3940.48,6687.7,65,7,20,2,cash_out,travel,mobile,BD,savings,Verified ,No
6026.53,22783.29,93,3,10,0,cash_out,GAMBLING,Mobile ,Bangladesh,current,Verified ,No
5194.16,19209.21,86,3,19,1,Transfer,electronics,desktop,india,current,unverified,No
6937.29,5197.16,80,3,19,2,Cash_Out,food,Mobile ,BD,business,verified,No
3595.89,26459.18,41,4,20,1,transfer,electronics,mobile,Bangladesh,business,Verified ,No
4344.68,33743.1,115,1,17,0,cash_out,travel,Mobile ,Bangladesh,current,Verified ,No
4215.78,14015.06,108,4,17,0,Transfer,GAMBLING,Mobile ,Bangladesh,current,Verified ,No
2072.97,2590.18,51,2,9,0,TRANSFER,travel,desktop,IN,current,unverified,No
5592.24,12908.74,118,2,1,0,Transfer,travel,mobile,IN,business,verified,No
5522.11,28544.61,105,0,8,1,Cash_Out,food,Mobile ,india,current,Verified ,Yes
5010.23,25485.3,71,1,13,0,transfer,travel,desktop,india,business,Verified ,No
4530.83,10775.67,78,2,18,0,Cash_Out,food,Mobile ,Bangladesh,current,Verified ,No
2169.26,35211.72,29,2,9,0,TRANSFER,GAMBLING,mobile,india,savings,unverified,No
4158.71,33482.8,83,5,22,0,TRANSFER,GAMBLING,Mobile ,IN,savings,Verified ,No
4314.57,12669.94,19,4,3,0,TRANSFER,food,Mobile ,india,current,verified,Yes
3395.45,12567.1,66,2,5,1,TRANSFER,electronics,Mobile ,BD,savings,verified,Yes
4677.43,14071.72,41,2,13,1,Transfer,GAMBLING,Mobile ,IN,business,verified,No
5808.1,14926.67,45,3,3,3,TRANSFER,electronics,mobile,Bangladesh,savings,verified,No
8772.37,29505.38,15,5,14,2,TRANSFER,GAMBLING,desktop,Bangladesh,savings,Verified ,No
5349.16,24253.29,3,1,15,0,Transfer,GAMBLING,desktop,india,business,unverified,Yes
5515.1,28770.79,11,2,6,0,TRANSFER,gambling,Mobile ,IN,savings,unverified,No
4851.11,26735.65,53,3,16,0,Cash_Out,travel,mobile,Bangladesh,savings,unverified,No
1162.46,37145.27,46,0,18,0,Cash_Out,travel,mobile,Bangladesh,current,Verified ,Yes
4946.97,9406.14,30,2,18,0,cash_out,electronics,mobile,IN,business,unverified,No
5120.46,23803.59,57,5,16,2,Cash_Out,travel,mobile,IN,business,verified,No
9926.48,-1738.21,104,2,5,0,transfer,electronics,mobile,Bangladesh,current,Verified ,No
4615.28,6830.44,18,3,10,1,transfer,GAMBLING,mobile,india,current,unverified,No
5603.09,19251.47,51,2,15,1,transfer,gambling,Mobile ,india,savings,verified,No
4930.58,24182.07,48,0,7,1,Transfer,gambling,desktop,india,savings,verified,No
2662.64,18981.84,66,7,10,1,Cash_Out,GAMBLING,desktop,BD,savings,Verified ,No
7285.65,14328.08,96,5,6,0,transfer,food,Mobile ,IN,current,Verified ,No
6503.87,16105.82,8,0,23,0,cash_out,food,desktop,Bangladesh,business,unverified,No
6582.06,33694.41,22,3,21,0,Transfer,travel,mobile,BD,savings,unverified,No
3181.23,16159.68,6,8,18,2,cash_out,electronics,,india,current,unverified,No
7805.59,37492.42,76,4,9,0,Cash_Out,gambling,desktop,BD,business,Verified ,No
2196.3,27940.17,111,3,8,0,TRANSFER,travel,mobile,Bangladesh,current,unverified,No
6173.71,24575.37,57,2,3,1,cash_out,GAMBLING,mobile,Bangladesh,savings,unverified,No
9380.91,8064.03,104,4,22,0,TRANSFER,gambling,desktop,IN,current,verified,No
3018.93,29352.38,36,5,14,1,Transfer,electronics,Mobile ,india,current,verified,No
3867.4,15062.29,79,3,12,3,cash_out,electronics,desktop,india,current,verified,Yes
5199.3,8055.6,92,0,1,0,cash_out,food,,BD,current,unverified,No
3993.05,25128.44,116,2,1,1,Transfer,travel,desktop,india,business,Verified ,No
1898.67,6120.54,57,4,15,0,Transfer,GAMBLING,desktop,BD,savings,verified,No
,12377.59,49,5,8,0,transfer,gambling,Mobile ,Bangladesh,business,Verified ,No
2875.39,19898.84,45,2,12,1,Cash_Out,electronics,Mobile ,Bangladesh,current,unverified,Yes
5947.18,42184.21,82,3,2,0,cash_out,gambling,mobile,Bangladesh,current,unverified,No
3161.15,65654.2,66,1,8,0,cash_out,GAMBLING,mobile,Bangladesh,savings,verified,No
8099.87,15417.83,77,4,12,0,Transfer,gambling,desktop,Bangladesh,savings,Verified ,No
34334.899999999994,27323.45,45,5,20,0,Transfer,travel,mobile,BD,business,verified,No
4355.88,7617.04,118,2,21,2,Cash_Out,food,Mobile ,Bangladesh,business,unverified,No
6627.03,24428.06,79,4,1,2,Transfer,gambling,mobile,BD,savings,Verified ,No
2538.27,32059.27,20,5,7,2,TRANSFER,food,mobile,Bangladesh,business,verified,Yes
,16929.05,64,2,8,0,TRANSFER,GAMBLING,mobile,BD,current,unverified,Yes
7614.29,30261.54,93,2,15,1,TRANSFER,food,desktop,BD,current,verified,No
1785.03,22914.5,106,6,1,0,TRANSFER,gambling,mobile,BD,savings,Verified ,No
5369.27,12693.18,93,0,5,0,Cash_Out,gambling,Mobile ,india,business,Verified ,No
5519.77,18021.95,67,3,21,0,cash_out,electronics,Mobile ,BD,current,Verified ,No
6563.65,16202.43,83,3,7,1,TRANSFER,gambling,Mobile ,BD,savings,Verified ,Yes
2526.1,19123.62,3,4,4,0,Transfer,food,Mobile ,Bangladesh,business,Verified ,No
2359.09,21527.18,54,10,8,1,TRANSFER,electronics,mobile,BD,current,verified,No
6043.88,25882.0,78,5,0,0,Cash_Out,gambling,desktop,BD,business,verified,No
5593.97,25086.68,64,4,8,0,Transfer,gambling,Mobile ,IN,business,verified,Yes
5500.99,-4317.14,40,3,9,1,TRANSFER,GAMBLING,Mobile ,india,business,verified,No
5692.9,19026.92,59,1,22,1,cash_out,electronics,desktop,IN,savings,unverified,No
3639.95,4905.78,55,2,3,0,Transfer,GAMBLING,desktop,Bangladesh,current,unverified,No
5464.51,17242.73,62,4,2,0,Transfer,GAMBLING,Mobile ,india,savings,verified,No
5586.14,18762.1,4,4,9,0,cash_out,GAMBLING,Mobile ,india,current,unverified,Yes
3571.3,29761.48,60,2,14,1,Transfer,travel,desktop,IN,current,unverified,Yes
8731.55,19698.85,116,1,10,1,,GAMBLING,Mobile ,india,savings,Verified ,No
5947.67,22592.18,75,2,13,1,Transfer,food,Mobile ,IN,savings,verified,No
2617.39,27930.56,95,2,5,1,TRANSFER,gambling,mobile,BD,current,unverified,No
6313.11,32277.52,107,1,11,0,cash_out,travel,desktop,IN,current,unverified,No
3050.64,18769.86,96,3,12,0,transfer,GAMBLING,mobile,india,current,verified,Yes
6574.17,20941.79,91,1,16,1,cash_out,gambling,mobile,india,business,Verified ,No
7317.19,,30,1,15,1,TRANSFER,electronics,desktop,Bangladesh,current,verified,No
3358.64,14574.01,107,4,2,0,Cash_Out,electronics,mobile,Bangladesh,savings,Verified ,No
6926.75,12308.85,2,4,1,1,cash_out,gambling,Mobile ,Bangladesh,savings,unverified,No
5825.56,-2718.86,62,3,10,1,Cash_Out,food,mobile,Bangladesh,savings,Verified ,No
66441.2,9233.39,49,2,8,0,Cash_Out,gambling,desktop,india,current,Verified ,No
8793.59,2213.69,9,4,2,0,TRANSFER,gambling,Mobile ,Bangladesh,current,verified,No
4509.22,32551.98,92,4,17,1,TRANSFER,travel,Mobile ,IN,business,unverified,No
3492.53,21884.16,31,5,19,0,transfer,electronics,Mobile ,BD,business,verified,No
3220.97,18740.61,98,4,14,1,Transfer,electronics,Mobile ,india,savings,verified,No
3368.38,12825.15,61,1,13,4,cash_out,GAMBLING,mobile,Bangladesh,business,unverified,No
4845.8,20297.79,79,2,1,0,TRANSFER,gambling,mobile,india,business,verified,No
5682.3,11520.2,48,1,16,1,cash_out,gambling,Mobile ,Bangladesh,savings,verified,No
5553.38,21740.19,25,1,21,0,Cash_Out,food,desktop,india,current,Verified ,No
6654.37,22457.34,36,4,7,1,Transfer,electronics,Mobile ,Bangladesh,business,verified,No
5026.0,11386.16,8,2,9,3,transfer,food,mobile,BD,current,unverified,No
7907.07,11195.38,73,2,17,2,cash_out,travel,Mobile ,Bangladesh,savings,verified,Yes
4470.69,29621.99,58,3,18,0,Transfer,GAMBLING,mobile,IN,savings,Verified ,No
10440.34,19471.4,101,0,7,2,transfer,food,Mobile ,india,business,verified,No
6251.33,12189.8,112,2,7,0,cash_out,electronics,desktop,india,savings,verified,No
32856.799999999996,16294.94,45,1,2,1,Transfer,travel,Mobile ,IN,savings,verified,No
2858.22,9894.06,62,1,2,2,TRANSFER,gambling,desktop,IN,savings,Verified ,Yes
5964.94,19328.16,39,6,11,1,cash_out,travel,desktop,BD,business,unverified,No
4553.07,28316.28,96,1,21,1,Transfer,food,Mobile ,india,business,unverified,No
6428.0,19723.29,58,2,16,1,transfer,electronics,desktop,BD,business,Verified ,Yes
5946.48,43636.33,116,5,3,0,Transfer,food,desktop,india,savings,Verified ,No
4854.34,24213.6,81,2,16,0,TRANSFER,gambling,mobile,india,current,verified,No
3306.41,22299.54,99,0,13,0,cash_out,gambling,mobile,BD,savings,unverified,No
1970.31,10916.98,101,4,18,0,cash_out,electronics,desktop,india,business,Verified ,No
4106.97,17614.67,83,5,8,0,cash_out,GAMBLING,Mobile ,india,current,unverified,No
6712.8,12209.86,64,3,20,0,TRANSFER,travel,desktop,BD,current,verified,No
5428.19,-1656.45,44,6,11,3,transfer,travel,Mobile ,Bangladesh,business,Verified ,No
2508.52,29742.62,29,1,4,0,cash_out,gambling,mobile,BD,current,unverified,No
5346.36,14885.49,59,1,10,0,transfer,food,Mobile ,india,current,unverified,Yes
5770.63,12396.0,71,2,19,0,Transfer,food,desktop,IN,business,verified,No
3232.29,22105.7,92,2,2,2,transfer,GAMBLING,desktop,Bangladesh,current,Verified ,No
5307.45,25125.0,9,4,20,0,transfer,food,desktop,IN,current,unverified,No
5116.42,16792.25,92,0,14,0,cash_out,travel,desktop,Bangladesh,business,verified,No
2714.06,19973.98,6,1,13,1,Cash_Out,food,desktop,IN,current,unverified,No
5715.57,27461.87,29,4,10,0,Cash_Out,GAMBLING,Mobile ,Bangladesh,current,verified,Yes
6121.57,16398.06,58,1,19,0,TRANSFER,travel,desktop,BD,current,unverified,No
7166.1,23023.34,17,3,7,1,TRANSFER,food,mobile,Bangladesh,current,unverified,No
7107.6,3407.55,16,4,3,0,Cash_Out,travel,desktop,Bangladesh,business,verified,No
2244.66,7586.81,87,6,11,1,Transfer,gambling,Mobile ,Bangladesh,savings,Verified ,No
3124.35,26055.4,95,2,7,2,cash_out,gambling,desktop,india,savings,verified,No
6030.07,7064.41,3,2,5,0,cash_out,gambling,desktop,IN,current,Verified ,No
6027.57,22341.38,21,3,14,1,Transfer,food,Mobile ,BD,business,unverified,No
6030.1,18530.01,64,4,11,2,Transfer,GAMBLING,desktop,IN,business,unverified,No
12705.46,16355.33,90,3,15,0,,travel,Mobile ,IN,current,verified,Yes
6141.78,58576.850000000006,36,3,15,0,TRANSFER,electronics,desktop,BD,savings,verified,No
7271.13,29093.4,106,3,20,1,Transfer,gambling,mobile,india,current,Verified ,No
6908.0,37298.91,101,2,19,2,TRANSFER,gambling,desktop,Bangladesh,business,Verified ,No
6302.78,23001.92,117,5,19,1,transfer,electronics,Mobile ,india,business,Verified ,No
4369.46,23224.91,86,2,3,0,cash_out,electronics,mobile,india,savings,verified,No
6517.94,13176.69,62,1,10,2,Cash_Out,food,Mobile ,Bangladesh,business,unverified,Yes
3454.35,8039.03,42,3,12,1,cash_out,travel,desktop,IN,business,verified,No
4526.36,19602.61,76,4,8,0,Cash_Out,gambling,mobile,Bangladesh,business,unverified,No
4029.27,10262.5,42,2,3,0,transfer,GAMBLING,Mobile ,BD,savings,verified,No
5163.75,2273.9,61,2,11,1,cash_out,food,mobile,Bangladesh,business,verified,No
9629.32,28034.46,13,2,8,0,transfer,food,mobile,IN,current,Verified ,No
1265.47,28521.67,11,3,12,0,Cash_Out,GAMBLING,Mobile ,india,savings,unverified,Yes
6372.52,11411.61,54,1,15,1,Transfer,GAMBLING,mobile,india,current,verified,No
1774.57,22439.64,16,2,5,0,cash_out,GAMBLING,Mobile ,Bangladesh,current,verified,No
4056.14,30019.52,8,0,9,0,transfer,electronics,mobile,BD,savings,unverified,No
7177.9,22050.27,104,2,12,1,cash_out,gambling,mobile,IN,current,verified,No
5128.56,8068.45,59,2,6,0,cash_out,electronics,mobile,india,savings,unverified,No
2844.51,17671.07,57,2,18,1,cash_out,gambling,desktop,Bangladesh,current,Verified ,No
3569.39,33268.09,40,4,23,1,TRANSFER,electronics,desktop,BD,savings,Verified ,No
6359.2,22470.27,109,2,18,0,transfer,travel,Mobile ,BD,business,unverified,No
3539.27,126956.6,59,3,16,0,transfer,gambling,mobile,india,business,Verified ,Yes
5432.92,23416.29,2,2,12,2,cash_out,food,Mobile ,india,current,unverified,No
5091.14,11444.89,94,5,12,1,Transfer,gambling,desktop,IN,business,verified,No
3696.8,13791.55,94,0,20,0,cash_out,gambling,desktop,BD,savings,verified,No
9287.89,23388.65,76,4,1,0,TRANSFER,gambling,,IN,current,unverified,No
6267.84,28168.72,10,2,9,1,Cash_Out,travel,desktop,BD,business,verified,No
949.71,30999.05,44,6,21,0,TRANSFER,electronics,Mobile ,BD,business,Verified ,Yes
5372.91,11418.94,11,2,12,0,Transfer,food,mobile,Bangladesh,current,verified,Yes
3676.43,24331.21,79,2,8,0,cash_out,electronics,Mobile ,india,business,verified,No
6704.87,31870.44,80,1,0,0,transfer,electronics,mobile,BD,business,unverified,No
3414.96,10129.18,81,1,13,0,cash_out,GAMBLING,desktop,IN,current,Verified ,No
4770.53,34867.47,90,2,15,0,Transfer,travel,mobile,india,business,verified,No
6009.97,36389.41,2,1,19,0,transfer,GAMBLING,desktop,IN,business,verified,No
6731.51,46250.86,50,5,14,0,TRANSFER,travel,Mobile ,india,business,unverified,No
2599.41,22309.33,12,3,0,0,Cash_Out,electronics,mobile,india,business,unverified,No
4331.0,22364.25,115,2,16,0,Cash_Out,electronics,Mobile ,BD,current,Verified ,No
4050.11,28269.94,90,3,23,0,cash_out,travel,desktop,Bangladesh,savings,verified,No
3693.34,27978.03,23,2,12,1,TRANSFER,electronics,Mobile ,BD,savings,unverified,No
8530.91,31263.67,18,2,14,1,Transfer,electronics,desktop,india,business,unverified,No
5809.96,27840.33,62,1,15,0,Cash_Out,food,desktop,BD,business,unverified,Yes
2478.23,18939.38,96,7,15,0,TRANSFER,GAMBLING,desktop,BD,savings,Verified ,No
6835.72,32219.97,113,2,1,0,cash_out,GAMBLING,Mobile ,india,business,unverified,Yes
9244.31,9287.46,62,4,16,0,transfer,GAMBLING,Mobile ,india,savings,Verified ,Yes
7064.93,20058.52,38,6,10,1,cash_out,gambling,mobile,BD,current,Verified ,Yes
1961.26,35637.36,111,3,7,0,cash_out,food,mobile,BD,current,verified,No
4031.53,,67,1,19,1,TRANSFER,GAMBLING,Mobile ,BD,current,verified,No
7533.82,13225.24,38,2,2,1,Cash_Out,GAMBLING,Mobile ,IN,current,Verified ,No
,26717.47,67,1,11,1,TRANSFER,food,Mobile ,BD,current,verified,No
5887.64,23939.12,94,0,19,0,transfer,electronics,Mobile ,IN,current,verified,No
6549.27,11249.75,61,1,15,1,TRANSFER,GAMBLING,desktop,Bangladesh,savings,unverified,No
3146.14,15838.06,1,4,13,0,Transfer,electronics,desktop,IN,business,verified,No
4880.95,8192.18,94,4,15,1,cash_out,GAMBLING,desktop,BD,savings,Verified ,No
-1482.53,29804.85,45,6,20,0,Cash_Out,travel,Mobile ,Bangladesh,current,verified,No
2951.22,17441.19,96,1,16,1,transfer,gambling,desktop,IN,business,unverified,No
4494.86,37921.56,28,5,10,2,cash_out,GAMBLING,desktop,IN,business,Verified ,No
2504.43,20811.0,21,7,16,0,TRANSFER,travel,mobile,india,current,verified,No
8264.82,17802.6,110,2,18,0,Transfer,food,mobile,Bangladesh,current,Verified ,No
2139.72,16831.78,13,2,21,0,TRANSFER,travel,desktop,india,current,verified,No
41199.1,17558.0,27,1,0,1,cash_out,food,desktop,Bangladesh,current,unverified,No
5261.48,21108.21,100,3,11,0,transfer,GAMBLING,desktop,IN,current,verified,No
7882.55,45124.08,7,4,14,2,Cash_Out,food,Mobile ,india,current,Verified ,No
2128.28,16611.4,22,3,17,0,cash_out,travel,mobile,BD,business,Verified ,No
7326.33,16936.47,74,2,22,2,transfer,gambling,mobile,IN,current,Verified ,No
5020.47,20655.94,103,2,13,0,cash_out,electronics,mobile,Bangladesh,current,verified,No
3036.98,30902.75,53,2,0,0,Transfer,electronics,desktop,Bangladesh,business,verified,No
5924.21,5790.15,79,4,12,0,TRANSFER,gambling,Mobile ,india,savings,verified,No
5398.12,24550.93,79,6,14,0,Cash_Out,electronics,mobile,india,current,unverified,No
3799.57,11825.75,4,1,6,3,transfer,GAMBLING,mobile,Bangladesh,business,unverified,No
,25532.73,96,5,14,2,Cash_Out,GAMBLING,Mobile ,IN,business,unverified,No
42293.7,15062.4,23,0,19,0,Cash_Out,travel,desktop,india,savings,Verified ,No
5227.03,-3041.02,119,4,9,0,Cash_Out,travel,desktop,BD,current,Verified ,No
6324.26,23695.78,70,4,13,1,transfer,food,mobile,Bangladesh,current,Verified ,No
8172.03,23611.45,88,5,5,1,transfer,travel,mobile,BD,current,Verified ,No
2524.37,14209.2,84,1,13,1,Cash_Out,GAMBLING,Mobile ,Bangladesh,business,Verified ,No
9266.07,13616.56,101,5,23,1,TRANSFER,travel,mobile,BD,current,verified,No
1095.82,6886.27,84,2,21,1,cash_out,electronics,Mobile ,IN,current,Verified ,No
4696.43,27731.0,76,2,11,0,Cash_Out,food,mobile,Bangladesh,current,verified,No
6176.63,28822.16,33,6,10,1,Transfer,food,mobile,IN,current,unverified,Yes
5561.98,11209.49,28,1,19,0,Cash_Out,GAMBLING,mobile,india,savings,unverified,No
3754.6,14600.66,8,3,21,0,transfer,travel,desktop,Bangladesh,savings,unverified,No
4583.76,19367.11,1,5,23,1,cash_out,electronics,Mobile ,IN,savings,unverified,Yes
40140.0,42708.65,37,3,18,1,Transfer,travel,Mobile ,BD,current,unverified,No
3821.27,25451.22,63,0,1,0,cash_out,gambling,desktop,IN,current,Verified ,No
6699.2,10565.84,22,4,21,1,cash_out,travel,desktop,Bangladesh,business,Verified ,No
5714.03,23037.8,70,2,19,1,Transfer,GAMBLING,desktop,IN,business,Verified ,No
3614.18,6233.08,21,1,0,0,Cash_Out,travel,Mobile ,BD,business,unverified,No
6799.2,27179.9,96,6,7,1,Cash_Out,food,mobile,BD,current,unverified,No
5614.6,36755.47,35,5,13,0,Cash_Out,electronics,desktop,BD,savings,verified,No
6625.72,36797.92,79,4,8,0,TRANSFER,GAMBLING,desktop,india,savings,Verified ,No
6259.26,27348.94,5,1,1,1,Cash_Out,gambling,desktop,Bangladesh,savings,unverified,No
3342.01,14165.88,60,2,22,1,Transfer,electronics,mobile,BD,current,unverified,No
3879.64,6990.98,46,2,4,0,TRANSFER,electronics,mobile,india,savings,unverified,No
6494.59,5997.95,50,2,22,1,Cash_Out,food,desktop,BD,business,verified,No
6220.74,-8062.17,48,2,7,0,TRANSFER,food,mobile,IN,business,unverified,Yes
4958.2,26938.56,6,0,15,1,Transfer,food,desktop,Bangladesh,savings,verified,No
5234.65,18971.64,89,8,21,0,Cash_Out,GAMBLING,mobile,IN,business,verified,No
,29092.16,56,4,15,1,transfer,travel,Mobile ,india,savings,Verified ,No
3816.86,34280.31,110,2,12,0,Transfer,electronics,Mobile ,IN,savings,unverified,No
6094.19,20999.06,59,3,19,0,cash_out,travel,mobile,IN,business,verified,No
